# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
0.000000000000000000e+00,2.411131160600973544e+02,6.727482374514224830e+02,2.411131160600973544e+02,6.727482374514224830e+02,2.411131160600973544e+02,6.727482374514224830e+02
3.336746302616609705e-02,2.501839789006105264e+02,6.710635224654038211e+02,2.411131160600973544e+02,6.727482374514224830e+02,2.412252258836665249e+02,6.727274154962052535e+02
6.673492605233219410e-02,2.616541566555406462e+02,6.704132792954699198e+02,2.412253527521281455e+02,6.727273919331548768e+02,2.414756077917513437e+02,6.726990438050620469e+02
1.001023890784982912e-01,3.103202819824211929e+02,9.974476928710770380e+02,2.414763317260450890e+02,6.726989525026087904e+02,2.423145125418286341e+02,6.766527954054789689e+02
1.334698521046643882e-01,2.799312183080493242e+02,6.733694331971172460e+02,2.423185257287721868e+02,6.766681345839224377e+02,2.427752006145127268e+02,6.766280833678140425e+02
1.668373151308304991e-01,2.876738535346677850e+02,6.746253534793090694e+02,2.427820903840708127e+02,6.766438974650856153e+02,2.433280966452756502e+02,6.766193464655837033e+02
2.002047781569965823e-01,2.961808559219333574e+02,6.781874829530588613e+02,2.433401033515882546e+02,6.766356429368128147e+02,2.439879141577506800e+02,6.766546680014279218e+02
2.335722411831626655e-01,3.092869243671178765e+02,6.777514272208247803e+02,2.440088422828098942e+02,6.766718848770003660e+02,2.448223595309590621e+02,6.766853384940302476e+02
2.669397042093287764e-01,3.232284892365880751e+02,6.821758769048537943e+02,2.448593586625531771e+02,6.767034983677059472e+02,2.458633367312171174e+02,6.767736043902492611e+02
3.003071672354948873e-01,1.418308326186005885e+01,1.801032115745271767e+03,2.459281540049988735e+02,6.767942312723006353e+02,2.428327930730607704e+02,6.918103954333905676e+02
3.336746302616609983e-01,3.599910555767802407e+02,6.818340784371657719e+02,2.427995615316324347e+02,6.923332730479730799e+02,2.444593527481329147e+02,6.921845722302444983e+02
3.670420932878270537e-01,3.822160782894528097e+02,6.832996266690329321e+02,2.444933521655491688e+02,6.927503810848777448e+02,2.466011426520083774e+02,6.926057411201586547e+02
4.004095563139931646e-01,4.036740753255124332e+02,6.846046655756041446e+02,2.467514697712736051e+02,6.932124780364055141e+02,2.493982131756098681e+02,6.930672939134684611e+02
4.337770193401592755e-01,4.239312543966113367e+02,6.858599499144859237e+02,2.497337819674636989e+02,6.937126082422274749e+02,2.530334504058697860e+02,6.935638622904044723e+02
4.671444823663253310e-01,4.440816759389218760e+02,6.862059285755192377e+02,2.536466047804511561e+02,6.942451322059121139e+02,2.577653357264248939e+02,6.940712602579980057e+02
5.005119453924914419e-01,4.645409264438899868e+02,6.867748420049499600e+02,2.587770945988868903e+02,6.947840330688941322e+02,2.639248670906748657e+02,6.945836601798846459e+02
5.338794084186575528e-01,4.874032735975875426e+02,6.863931824921442058e+02,2.654894889003263074e+02,6.953229915299899631e+02,2.719678563203785870e+02,6.950623020734202555e+02
5.672468714448236637e-01,5.965776503026189630e+02,1.554692522909620493e+03,2.742815537489643134e+02,6.958197173726606479e+02,2.853079408593071093e+02,7.252034552883947072e+02
6.006143344709897747e-01,5.984313964843787517e+02,1.554141113279378260e+03,2.889063289524584661e+02,7.290019132225936573e+02,3.013171978565807194e+02,7.620870992503811294e+02
6.339817974971558856e-01,5.487570356150263251e+02,6.816306019087744517e+02,3.064481917886446922e+02,7.695885105108560538e+02,3.177933901850202574e+02,7.654702129371369210e+02
6.673492605233219965e-01,5.691578979348585108e+02,6.811837447065763627e+02,3.244431148802759708e+02,7.730193786616534908e+02,3.377322027269839850e+02,7.680323002683758205e+02
7.007167235494879964e-01,5.882261200289502767e+02,6.801890135881727701e+02,3.461810509803066225e+02,7.755102685676505416e+02,3.612859176717994956e+02,7.695617282607151992e+02
7.340841865756541074e-01,5.581988399315188190e+02,6.863072539860402230e+02,3.717987913206754342e+02,7.768398425978570003e+02,3.850200239870184191e+02,7.704184257213943283e+02
