# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
0.000000000000000000e+00,3.100000000000000000e+01,1.480000000000000000e+02,3.100000000000000000e+01,1.480000000000000000e+02,3.100000000000000000e+01,1.480000000000000000e+02
3.333333333333333287e-02,3.200000000000000000e+01,1.460000000000000000e+02,3.100000000000000000e+01,1.480000000000000000e+02,3.150027770832477714e+01,1.469994445833504528e+02
6.666666666666666574e-02,3.300000000000000000e+01,1.440000000000000000e+02,3.150083346429193654e+01,1.469983330714161411e+02,3.200222047107655499e+01,1.459955590578468900e+02
1.000000000000000056e-01,3.400000000000000000e+01,1.430000000000000000e+02,3.200444462736844997e+01,1.459911107452630858e+02,3.250831560185559255e+01,1.452358654102127105e+02
1.333333333333333315e-01,3.500000000000000000e+01,1.410000000000000000e+02,3.251387696452962928e+01,1.452264136155826861e+02,3.302211614145179652e+01,1.443624061040196125e+02
1.666666666666666574e-01,3.600000000000000000e+01,1.390000000000000000e+02,3.303323167205835631e+01,1.443435129608712657e+02,3.354816328751488896e+01,1.434160580816885044e+02
2.000000000000000111e-01,3.700000000000000000e+01,1.380000000000000000e+02,3.356757753110218800e+01,1.433822216072750848e+02,3.409184960906096507e+01,1.425601350105203267e+02
2.333333333333333370e-01,3.800000000000000000e+01,1.360000000000000000e+02,3.412279681655650876e+01,1.425082029361217053e+02,3.465921285387051398e+01,1.416077847058010377e+02
2.666666666666666630e-01,3.900000000000000000e+01,1.340000000000000000e+02,3.470535820295713592e+01,1.415303438069874744e+02,3.525665900472866809e+01,1.405636777205943986e+02
2.999999999999999889e-01,4.000000000000000000e+01,1.330000000000000000e+02,3.532201715401485131e+01,1.404525675534071070e+02,3.589062467613526763e+01,1.395467100268847958e+02
3.333333333333333148e-01,4.100000000000000000e+01,1.310000000000000000e+02,3.597945634160068806e+01,1.393981649607351301e+02,3.656720131880643976e+01,1.384150086316073782e+02
3.666666666666666408e-01,4.200000000000000000e+01,1.300000000000000000e+02,3.668389138838293206e+01,1.382198686631597582e+02,3.729175445019883028e+01,1.372799791879157567e+02
4.000000000000000222e-01,4.300000000000000000e+01,1.280000000000000000e+02,3.744067792665518368e+01,1.370349010594857759e+02,3.806857737388397567e+01,1.360144512085555277e+02
4.333333333333333481e-01,4.400000000000000000e+01,1.260000000000000000e+02,3.825396163534254157e+01,1.357101109100110818e+02,3.890061832139469544e+01,1.346173392047457753e+02
4.666666666666666741e-01,4.500000000000000000e+01,1.250000000000000000e+02,3.912641132505643071e+01,1.342448083009770698e+02,3.978931192301910613e+01,1.332014276201147140e+02
5.000000000000000000e-01,4.600000000000000000e+01,1.230000000000000000e+02,4.005906574654684249e+01,1.327595575775546308e+02,4.073453170063060469e+01,1.316499258951762954e+02
