# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
0.000000000000000000e+00,7.100000000000000000e+01,1.480000000000000000e+02,7.100000000000000000e+01,1.480000000000000000e+02,7.100000000000000000e+01,1.480000000000000000e+02
3.333333333333333287e-02,7.200000000000000000e+01,1.460000000000000000e+02,7.100000000000000000e+01,1.480000000000000000e+02,7.104766945087507679e+01,1.479046610982498464e+02
6.666666666666666574e-02,7.300000000000000000e+01,1.440000000000000000e+02,7.104772240662612148e+01,1.479045551867477570e+02,7.113683937176890026e+01,1.477263212564621995e+02
1.000000000000000056e-01,7.400000000000000000e+01,1.430000000000000000e+02,7.113709507163831347e+01,1.477258098567233731e+02,7.126276518839789276e+01,1.475183656378830790e+02
1.333333333333333315e-01,7.500000000000000000e+01,1.410000000000000000e+02,7.126345948345522174e+01,1.475171301464961289e+02,7.142182457109053928e+01,1.472409158562426796e+02
1.666666666666666574e-01,7.600000000000000000e+01,1.390000000000000000e+02,7.142327166423305584e+01,1.472383673697995334e+02,7.161129314734380102e+01,1.468999181681775781e+02
2.000000000000000111e-01,7.700000000000000000e+01,1.380000000000000000e+02,7.161388024522656792e+01,1.468953177926784122e+02,7.182917569279274517e+01,1.465397517242261074e+02
2.333333333333333370e-01,7.800000000000000000e+01,1.360000000000000000e+02,7.183335951617804938e+01,1.465325134441272610e+02,7.207407742416862106e+01,1.461213714927187937e+02
2.666666666666666630e-01,7.900000000000000000e+01,1.340000000000000000e+02,7.208038219880418751e+01,1.461105105773055755e+02,7.234510462831633504e+01,1.456472012046256452e+02
2.999999999999999889e-01,8.000000000000000000e+01,1.330000000000000000e+02,7.235412126137794075e+01,1.456315950238395089e+02,7.264178694267859271e+01,1.451563486182051008e+02
3.333333333333333148e-01,8.100000000000000000e+01,1.310000000000000000e+02,7.265417314306803576e+01,1.451351726196550658e+02,7.296401569417383826e+01,1.446103980203405399e+02
3.666666666666666408e-01,8.200000000000000000e+01,1.300000000000000000e+02,7.298049682765088164e+01,1.445822861109701591e+02,7.331199414313577734e+01,1.440463376660226800e+02
4.000000000000000222e-01,8.300000000000000000e+01,1.280000000000000000e+02,7.333336463152730289e+01,1.440103132491789779e+02,7.368619648339129924e+01,1.434259373771920991e+02
4.333333333333333481e-01,8.400000000000000000e+01,1.260000000000000000e+02,7.371332156526725043e+01,1.433803796445919545e+02,7.408733316015648995e+01,1.427484493716764860e+02
4.666666666666666741e-01,8.500000000000000000e+01,1.250000000000000000e+02,7.412115083154891693e+01,1.426915878138386518e+02,7.451632057873680992e+01,1.420489481213956537e+02
5.000000000000000000e-01,8.600000000000000000e+01,1.230000000000000000e+02,7.455784352915850377e+01,1.419795437488534162e+02,7.497425365351743665e+01,1.412888283061065806e+02
5.333333333333333259e-01,8.700000000000000000e+01,1.220000000000000000e+02,7.502457100674293144e+01,1.412048351253209546e+02,7.546237993340378125e+01,1.405027268119027326e+02
5.666666666666666519e-01,8.800000000000000000e+01,1.200000000000000000e+02,7.552265859599673092e+01,1.404027333686539976e+02,7.598207426874942882e+01,1.396515047877363713e+02
5.999999999999999778e-01,8.900000000000000000e+01,1.190000000000000000e+02,7.605355968381464038e+01,1.395331785412120382e+02,7.653481317907319692e+01,1.387699058808984205e+02
6.333333333333333037e-01,9.000000000000000000e+01,1.170000000000000000e+02,7.661882927976165547e+01,1.386316633043115587e+02,7.712214825740082347e+01,1.378180105315766752e+02
6.666666666666666297e-01,9.100000000000000000e+01,1.160000000000000000e+02,7.722009641582525319e+01,1.376572300604975396e+02,7.774567811797427908e+01,1.368311978775074067e+02
6.999999999999999556e-01,9.200000000000000000e+01,1.140000000000000000e+02,7.785903489184593695e+01,1.366461363558302082e+02,7.840701856755340771e+01,1.357685644966305460e+02
7.333333333333332815e-01,9.300000000000000000e+01,1.130000000000000000e+02,7.853733206034195291e+01,1.355563223479478268e+02,7.910777086132722502e+01,1.346666523694566422e+02
