# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
0.000000000000000000e+00,7.100000000000000000e+01,1.480000000000000000e+02,7.100000000000000000e+01,1.480000000000000000e+02,7.100000000000000000e+01,1.480000000000000000e+02
3.333333333333333287e-02,7.200000000000000000e+01,1.460000000000000000e+02,7.100000000000000000e+01,1.480000000000000000e+02,7.150027770832477358e+01,1.469994445833504528e+02
6.666666666666666574e-02,7.300000000000000000e+01,1.440000000000000000e+02,7.150083346429192943e+01,1.469983330714161411e+02,7.200222047107655499e+01,1.459955590578468900e+02
1.000000000000000056e-01,7.400000000000000000e+01,1.430000000000000000e+02,7.200444462736844287e+01,1.459911107452630858e+02,7.250831560185558544e+01,1.452358654102127105e+02
1.333333333333333315e-01,7.500000000000000000e+01,1.410000000000000000e+02,7.251387696452962928e+01,1.452264136155826861e+02,7.302211614145180363e+01,1.443624061040196125e+02
1.666666666666666574e-01,7.600000000000000000e+01,1.390000000000000000e+02,7.303323167205836342e+01,1.443435129608712657e+02,7.354816328751489607e+01,1.434160580816885044e+02
2.000000000000000111e-01,7.700000000000000000e+01,1.380000000000000000e+02,7.356757753110220222e+01,1.433822216072750848e+02,7.409184960906098638e+01,1.425601350105203267e+02
2.333333333333333370e-01,7.800000000000000000e+01,1.360000000000000000e+02,7.412279681655653008e+01,1.425082029361217053e+02,7.465921285387052819e+01,1.416077847058010377e+02
2.666666666666666630e-01,7.900000000000000000e+01,1.340000000000000000e+02,7.470535820295714302e+01,1.415303438069874744e+02,7.525665900472867520e+01,1.405636777205943986e+02
2.999999999999999889e-01,8.000000000000000000e+01,1.330000000000000000e+02,7.532201715401485842e+01,1.404525675534071070e+02,7.589062467613527474e+01,1.395467100268847958e+02
3.333333333333333148e-01,8.100000000000000000e+01,1.310000000000000000e+02,7.597945634160069517e+01,1.393981649607351301e+02,7.656720131880645397e+01,1.384150086316073782e+02
3.666666666666666408e-01,8.200000000000000000e+01,1.300000000000000000e+02,7.668389138838296049e+01,1.382198686631597582e+02,7.729175445019885160e+01,1.372799791879157567e+02
4.000000000000000222e-01,8.300000000000000000e+01,1.280000000000000000e+02,7.744067792665521210e+01,1.370349010594857759e+02,7.806857737388399698e+01,1.360144512085555277e+02
4.333333333333333481e-01,8.400000000000000000e+01,1.260000000000000000e+02,7.825396163534257710e+01,1.357101109100110818e+02,7.890061832139473097e+01,1.346173392047457753e+02
4.666666666666666741e-01,8.500000000000000000e+01,1.250000000000000000e+02,7.912641132505646624e+01,1.342448083009770698e+02,7.978931192301914166e+01,1.332014276201147140e+02
5.000000000000000000e-01,8.600000000000000000e+01,1.230000000000000000e+02,8.005906574654687802e+01,1.327595575775546308e+02,8.073453170063064022e+01,1.316499258951762954e+02
5.333333333333333259e-01,8.700000000000000000e+01,1.220000000000000000e+02,8.105130920457186505e+01,1.311308450480538284e+02,8.173466297581654771e+01,1.300819424217761480e+02
5.666666666666666519e-01,8.800000000000000000e+01,1.200000000000000000e+02,8.210097267949505806e+01,1.294865081452610411e+02,8.278677913489096341e+01,1.283836299635358387e+02
